YearBuilt,YearRemodeled,Condition,FinSqFt,Cooling,FP_Open,Bedroom,FullBath,HalfBath,TotalRooms,LotSize,LandValue,ImprovementsValue,TotalValue,LastSalePrice,LastSaleDate,ESDistrict,MSDistrict,HSDistrict,CensusTract,Age,Remodeled,FP
1999,NA,Average,2023,Central Air,1,3,2,1,8,0.501,151200,311800,463000,0,06/17/2019,Mountain View,Walton,Monticello,113.01,23,0,1
1995,NA,Average,1793,Central Air,1,3,2,0,7,0.359,140000,288500,428500,290000,05/28/2015,Mountain View,Walton,Monticello,113.01,27,0,1
2002,NA,Average,1814,Central Air,1,3,3,1,5,0.359,140000,324200,464200,429900,11/08/2019,Mountain View,Walton,Monticello,113.01,20,0,1
1998,NA,Good,1704,Central Air,0,4,3,0,6,0.398,140000,284600,424600,395500,11/20/2020,Mountain View,Walton,Monticello,113.01,24,0,0
1998,NA,Average,1728,Central Air,1,3,2,1,7,0.384,140000,246900,386900,219000,01/31/2002,Mountain View,Walton,Monticello,113.01,24,0,1
1995,NA,Average,1656,Central Air,2,3,2,1,7,0.362,140000,221800,361800,325000,02/17/2021,Mountain View,Walton,Monticello,113.01,27,0,1
1995,NA,Good,1808,Central Air,1,4,2,1,8,0.299,140000,263700,403700,310000,04/25/2014,Mountain View,Walton,Monticello,113.01,27,0,1
1997,NA,Average,2452,Central Air,2,4,2,1,9,0.281,140000,314100,454100,449900,08/17/2020,Mountain View,Walton,Monticello,113.01,25,0,1
1995,NA,Average,1388,Central Air,1,3,2,0,6,0.475,142800,228200,371000,286000,11/09/2007,Mountain View,Walton,Monticello,113.01,27,0,1
1996,NA,Average,1656,Central Air,0,3,2,1,7,0.395,140000,219900,359900,128645,05/31/1996,Mountain View,Walton,Monticello,113.01,26,0,0
1993,NA,Average,1108,Central Air,0,3,2,0,7,0.182,104000,171300,275300,180000,10/18/2016,Mountain View,Walton,Monticello,113.01,29,0,0
1993,2021,Good,1444,Central Air,1,2,2,0,7,0.141,104000,210900,314900,329000,10/15/2021,Mountain View,Walton,Monticello,113.01,29,1,1
1993,NA,Average,1420,Central Air,1,3,2,0,6,0.143,109200,191600,300800,238000,05/30/2008,Mountain View,Walton,Monticello,113.01,29,0,1
1993,NA,Average,1255,Central Air,0,2,2,0,6,0.166,109200,186600,295800,95432,03/15/1993,Mountain View,Walton,Monticello,113.01,29,0,0
1994,NA,Good,1232,Central Air,0,2,2,0,6,0.127,109200,182700,291900,235000,06/28/2018,Mountain View,Walton,Monticello,113.01,28,0,0
1994,NA,Average,1340,Central Air,0,2,2,0,6,0.113,109200,177500,286700,133500,05/01/2002,Mountain View,Walton,Monticello,113.01,28,0,0
1993,NA,Average,1601,Central Air,1,3,2,0,7,0.106,114400,201300,315700,99865,07/30/1993,Mountain View,Walton,Monticello,113.01,29,0,1
1993,NA,Excellent,1566,Central Air,0,4,2,0,8,0.088,109200,223000,332200,286000,06/15/2020,Mountain View,Walton,Monticello,113.01,29,0,0
1993,NA,Average,1516,Central Air,1,2,2,0,6,0.1,109200,195900,305100,245000,06/14/2018,Mountain View,Walton,Monticello,113.01,29,0,1
1993,2018,Good,1231,Central Air,1,2,2,0,6,0.108,109200,197000,306200,279000,03/19/2021,Mountain View,Walton,Monticello,113.01,29,1,1
1993,NA,Average,1416,Central Air,1,2,2,0,6,0.09,109200,188900,298100,105000,12/11/1998,Mountain View,Walton,Monticello,113.01,29,0,1
1993,NA,Average,1108,Central Air,1,3,2,0,6,0.093,109200,172400,281600,0,03/14/2001,Mountain View,Walton,Monticello,113.01,29,0,1
1993,NA,Good,1119,Central Air,0,3,2,0,6,0.166,104000,187400,291400,262000,09/03/2019,Mountain View,Walton,Monticello,113.01,29,0,0
1993,NA,Average,1420,Central Air,1,2,2,0,6,0.194,104000,190700,294700,96095,04/30/1993,Mountain View,Walton,Monticello,113.01,29,0,1
1993,NA,Average,1580,Central Air,1,4,2,0,7,0.152,98800,219200,318000,0,08/11/2017,Mountain View,Walton,Monticello,113.01,29,0,1
1993,NA,Excellent,1587,Central Air,1,3,2,0,8,0.116,98800,233300,332100,234500,04/04/2011,Mountain View,Walton,Monticello,113.01,29,0,1
1994,NA,Average,1124,Central Air,0,3,2,0,6,0.192,113600,179200,292800,209500,10/03/2016,Mountain View,Walton,Monticello,113.01,28,0,0
1994,NA,Good,1420,Central Air,1,2,2,0,6,0.162,113600,200400,314000,328000,01/21/2022,Mountain View,Walton,Monticello,113.01,28,0,1
1993,NA,Average,1236,Central Air,1,3,2,0,6,0.191,113600,175900,289500,88583,07/02/1993,Mountain View,Walton,Monticello,113.01,29,0,1
1993,NA,Average,1296,Central Air,1,3,2,0,6,0.18,113600,180800,294400,235000,09/21/2016,Mountain View,Walton,Monticello,113.01,29,0,1
1993,NA,Average,1344,Central Air,0,3,2,0,6,0.196,113600,184300,297900,91575,09/02/1993,Mountain View,Walton,Monticello,113.01,29,0,0
1993,NA,Average,1244,Central Air,0,3,2,0,6,0.205,113600,170400,284000,275000,10/14/2021,Mountain View,Walton,Monticello,113.01,29,0,0
1993,NA,Good,1312,Central Air,0,1,2,0,6,0.207,113600,197000,310600,305000,10/07/2021,Mountain View,Walton,Monticello,113.01,29,0,0
1993,NA,Average,1255,Central Air,0,3,2,0,6,0.219,113600,171000,284600,230000,06/06/2008,Mountain View,Walton,Monticello,113.01,29,0,0
1993,NA,Good,1566,Central Air,1,3,2,0,6,0.118,113600,219800,333400,330000,03/25/2021,Mountain View,Walton,Monticello,113.01,29,0,1
1993,NA,Average,1559,Central Air,1,4,2,0,7,0.128,113600,200700,314300,239000,06/15/2010,Mountain View,Walton,Monticello,113.01,29,0,1
1996,NA,Average,1602,Central Air,0,4,3,0,7,0.113,113600,227800,341400,315000,10/01/2020,Mountain View,Walton,Monticello,113.01,26,0,0
1996,2007,Good,1646,Central Air,0,3,2,0,7,0.164,113600,236400,350000,350000,07/14/2021,Mountain View,Walton,Monticello,113.01,26,1,0
1993,2003,Good,1344,Central Air,0,4,3,0,6,0.147,108700,236600,345300,247000,06/30/2009,Mountain View,Walton,Monticello,113.01,29,1,0
1993,NA,Average,1242,Central Air,0,2,2,0,6,0.15,108700,187600,296300,141000,05/23/2002,Mountain View,Walton,Monticello,113.01,29,0,0
1993,NA,Average,1580,Central Air,1,3,2,0,8,0.152,98800,206700,305500,205000,06/22/2004,Mountain View,Walton,Monticello,113.01,29,0,1
1993,NA,Average,1566,Central Air,0,3,2,0,7,0.284,98800,194900,293700,112841,11/19/1993,Mountain View,Walton,Monticello,113.01,29,0,0
1993,NA,Average,1420,Central Air,1,2,2,0,5,0.224,108700,184300,293000,237250,11/14/2005,Mountain View,Walton,Monticello,113.01,29,0,1
1993,NA,Average,1255,Central Air,0,1,1,0,7,0.148,108700,168900,277600,158900,04/16/2003,Mountain View,Walton,Monticello,113.01,29,0,0
1992,NA,Average,1108,Central Air,0,2,2,0,5,0.109,108700,170900,279600,273000,12/21/2021,Mountain View,Walton,Monticello,113.01,30,0,0
1992,NA,Average,1420,Central Air,1,2,2,0,6,0.145,109200,186900,296100,159000,05/02/2003,Mountain View,Walton,Monticello,113.01,30,0,1
1992,NA,Average,1158,Central Air,0,2,2,0,5,0.167,104000,179700,283700,255000,06/22/2017,Mountain View,Walton,Monticello,113.01,30,0,0
1992,NA,Average,1255,Central Air,0,2,2,0,5,0.145,104000,171900,275900,330000,04/11/2022,Mountain View,Walton,Monticello,113.01,30,0,0
1992,NA,Average,1590,Central Air,1,4,3,0,6,0.166,104000,237500,341500,305000,07/24/2018,Mountain View,Walton,Monticello,113.01,30,0,1
1992,NA,Good,1556,Central Air,1,3,2,0,6,0.174,104000,232100,336100,285000,02/07/2019,Mountain View,Walton,Monticello,113.01,30,0,1
1993,NA,Average,1140,Central Air,1,3,2,0,6,0.422,135000,223200,358200,35900,02/16/1993,Mountain View,Walton,Monticello,113.01,29,0,1
1994,NA,Average,1486,Central Air,1,3,3,0,6,0.288,135000,295500,430500,0,07/20/2012,Mountain View,Walton,Monticello,113.01,28,0,1
1994,NA,Average,1174,Central Air,1,3,2,0,6,0.268,135000,224700,359700,35000,05/13/1994,Mountain View,Walton,Monticello,113.01,28,0,1
1994,NA,Average,1064,Central Air,0,2,2,0,4,0.23,135000,203400,338400,35900,12/01/1993,Mountain View,Walton,Monticello,113.01,28,0,0
1994,NA,Average,1564,Central Air,1,3,2,0,6,0.283,135000,267100,402100,190000,12/15/2010,Mountain View,Walton,Monticello,113.01,28,0,1
1992,NA,Average,1641,Central Air,1,4,3,0,6,0.364,135000,290400,425400,355000,01/17/2017,Mountain View,Walton,Monticello,113.01,30,0,1
1994,NA,Average,1225,Central Air,1,2,2,0,6,0.317,135000,248100,383100,0,09/12/2007,Mountain View,Walton,Monticello,113.01,28,0,1
1994,NA,Average,1460,Central Air,0,2,2,0,6,0.29,135000,279100,414100,0,11/30/1999,Mountain View,Walton,Monticello,113.01,28,0,0
1992,NA,Average,1437,Central Air,1,3,2,0,6,0.287,135000,278000,413000,35900,04/23/1992,Mountain View,Walton,Monticello,113.01,30,0,1
1993,NA,Good,1418,Central Air,1,3,2,0,6,0.285,135000,281600,416600,311500,11/06/2017,Mountain View,Walton,Monticello,113.01,29,0,1
1992,NA,Average,1602,Central Air,1,3,3,0,9,0.33,135000,334800,469800,148000,06/03/1996,Mountain View,Walton,Monticello,113.01,30,0,1
1993,NA,Average,2577,Central Air,1,4,3,1,9,0.32,135000,460500,595500,385000,03/06/2014,Mountain View,Walton,Monticello,113.01,29,0,1
1995,NA,Average,1752,Central Air,1,3,2,1,7,0.254,135000,269800,404800,152798,02/07/1995,Mountain View,Walton,Monticello,113.01,27,0,1
1994,NA,Average,2570,Central Air,1,3,3,0,7,0.321,135000,438300,573300,486000,06/30/2021,Mountain View,Walton,Monticello,113.01,28,0,1
1993,NA,Average,1814,Central Air,1,3,2,0,7,0.329,135000,328600,463600,0,06/02/2021,Mountain View,Walton,Monticello,113.01,29,0,1
1994,NA,Average,1888,Central Air,1,3,2,1,8,0.332,135000,293700,428700,0,03/16/2001,Mountain View,Walton,Monticello,113.01,28,0,1
1994,NA,Average,1144,Central Air,0,2,2,0,6,0.34,135000,259300,394300,315000,06/14/2018,Mountain View,Walton,Monticello,113.01,28,0,0
1994,NA,Average,1625,Central Air,0,3,2,0,6,0.366,135000,278800,413800,435000,03/31/2022,Mountain View,Walton,Monticello,113.01,28,0,0
1993,NA,Average,2224,Central Air,1,3,2,1,7,0.356,135000,327800,462800,184500,06/15/2001,Mountain View,Walton,Monticello,113.01,29,0,1
1996,NA,Good,2280,Central Air,1,4,3,1,7,0.391,155300,402300,557600,0,05/20/2019,Mountain View,Walton,Monticello,113.01,26,0,1
1996,NA,Average,1456,Central Air,1,3,2,0,6,0.397,168800,268600,437400,319900,03/15/2017,Mountain View,Walton,Monticello,113.01,26,0,1
1996,NA,Average,2128,Central Air,1,4,2,1,8,0.378,175500,308500,484000,450000,07/01/2021,Mountain View,Walton,Monticello,113.01,26,0,1
1995,NA,Average,2314,Central Air,3,4,3,1,11,0.343,175500,514400,689900,370000,12/17/1997,Mountain View,Walton,Monticello,113.01,27,0,1
1995,NA,Average,1675,Central Air,1,3,2,1,8,0.347,168800,275800,444600,370000,11/23/2020,Mountain View,Walton,Monticello,113.01,27,0,1
1994,NA,Average,1683,Central Air,1,3,3,0,6,0.346,141800,293700,435500,NA,10/29/2020,Mountain View,Walton,Monticello,113.01,28,0,1
1994,NA,Good,1440,Central Air,1,3,2,1,6,0.355,135000,244400,379400,412000,09/23/2021,Mountain View,Walton,Monticello,113.01,28,0,1
1993,NA,Average,1800,Central Air,1,3,2,1,7,0.36,135000,256400,391400,299500,08/24/2007,Mountain View,Walton,Monticello,113.01,29,0,1
1994,NA,Good,1775,Central Air,1,3,2,0,7,0.302,135000,344500,479500,407000,07/16/2020,Mountain View,Walton,Monticello,113.01,28,0,1
1994,NA,Average,1749,Central Air,1,3,1,1,8,0.235,135000,283700,418700,477000,03/02/2022,Mountain View,Walton,Monticello,113.01,28,0,1
1994,NA,Good,1796,Central Air,1,3,3,1,7,0.26,135000,328200,463200,288000,07/10/2012,Mountain View,Walton,Monticello,113.01,28,0,1
1994,NA,Average,1290,Central Air,1,2,2,0,5,0.308,135000,281800,416800,37500,01/11/1993,Mountain View,Walton,Monticello,113.01,28,0,1
1993,NA,Average,2108,Central Air,1,4,2,1,8,0.325,135000,303400,438400,308500,05/16/2016,Mountain View,Walton,Monticello,113.01,29,0,1
1995,NA,Average,1675,Central Air,1,3,3,0,7,0.3,135000,292900,427900,100000,07/09/2018,Mountain View,Walton,Monticello,113.01,27,0,1
1993,NA,Average,1904,Central Air,1,4,3,1,8,0.288,135000,314900,449900,40500,06/29/1993,Mountain View,Walton,Monticello,113.01,29,0,1
1994,NA,Average,1581,Central Air,1,4,2,0,8,0.329,135000,287900,422900,138900,10/17/1994,Mountain View,Walton,Monticello,113.01,28,0,1
1993,NA,Average,1646,Central Air,1,3,2,0,6,0.445,135000,325700,460700,0,02/08/2019,Mountain View,Walton,Monticello,113.01,29,0,1
1992,NA,Average,1756,Central Air,2,3,2,1,7,0.414,135000,274500,409500,266000,04/22/2014,Mountain View,Walton,Monticello,113.01,30,0,1
1995,NA,Average,1745,Central Air,1,2,3,0,5,0.366,135000,314300,449300,187000,09/13/2002,Mountain View,Walton,Monticello,113.01,27,0,1
1996,NA,Average,2785,Central Air,1,3,2,1,7,0.366,135000,458700,593700,0,06/04/2004,Mountain View,Walton,Monticello,113.01,26,0,1
1994,NA,Average,2188,Central Air,1,3,2,1,7,0.381,135000,365500,500500,0,01/26/2000,Mountain View,Walton,Monticello,113.01,28,0,1
1996,NA,Average,1236,Central Air,1,3,2,0,6,0.381,135000,237100,372100,0,12/17/2018,Mountain View,Walton,Monticello,113.01,26,0,1
1995,NA,Average,1174,Central Air,1,3,2,0,6,0.266,135000,226700,361700,292500,04/30/2019,Mountain View,Walton,Monticello,113.01,27,0,1
1993,NA,Good,1936,Central Air,1,4,3,1,6,0.245,135000,350300,485300,0,11/12/2015,Mountain View,Walton,Monticello,113.01,29,0,1
1994,NA,Average,1568,Central Air,1,3,2,0,6,0.25,135000,271600,406600,124645,04/03/1998,Mountain View,Walton,Monticello,113.01,28,0,1
1995,NA,Average,1452,Central Air,1,3,2,1,6,0.24,135000,219500,354500,295000,07/16/2019,Mountain View,Walton,Monticello,113.01,27,0,1
1994,NA,Average,1467,Central Air,1,3,2,0,6,0.219,135000,286000,421000,199500,02/28/2002,Mountain View,Walton,Monticello,113.01,28,0,1
1996,NA,Average,1968,Central Air,1,3,2,1,7,0.221,135000,286500,421500,260000,04/25/2013,Mountain View,Walton,Monticello,113.01,26,0,1
1995,NA,Average,1217,Central Air,1,3,2,0,6,0.206,135000,247200,382200,40500,06/13/1994,Mountain View,Walton,Monticello,113.01,27,0,1
1994,NA,Good,1158,Central Air,0,2,1,0,5,0.203,135000,230700,365700,344000,04/26/2022,Mountain View,Walton,Monticello,113.01,28,0,0
1994,NA,Average,1942,Central Air,1,3,2,0,7,0.227,135000,339400,474400,40500,01/11/1994,Mountain View,Walton,Monticello,113.01,28,0,1
1997,NA,Excellent,1792,Central Air,1,3,2,1,6,0.432,128300,286600,414900,365000,11/20/2020,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Average,2060,Central Air,1,3,2,2,7,0.327,135000,337500,472500,315000,12/18/2008,Mountain View,Walton,Monticello,113.03,25,0,1
1996,NA,Average,2252,Central Air,1,4,3,0,8,0.281,135000,330500,465500,259000,01/10/2003,Mountain View,Walton,Monticello,113.03,26,0,1
1995,NA,Average,1084,Central Air,1,4,3,0,8,0.327,135000,269800,404800,0,07/11/2008,Mountain View,Walton,Monticello,113.03,27,0,1
1995,NA,Average,1796,Central Air,1,4,3,1,7,0.449,135000,306500,441500,183000,06/15/2000,Mountain View,Walton,Monticello,113.03,27,0,1
1995,NA,Average,1532,Central Air,1,3,2,0,6,0.397,135000,283200,418200,0,06/17/2014,Mountain View,Walton,Monticello,113.03,27,0,1
1994,NA,Good,1654,Central Air,1,3,2,1,7,0.388,135000,264600,399600,350000,02/19/2020,Mountain View,Walton,Monticello,113.03,28,0,1
1996,NA,Average,2348,Central Air,1,3,2,1,8,0.351,135000,336200,471200,181100,09/11/1996,Mountain View,Walton,Monticello,113.03,26,0,1
1996,NA,Average,1476,Central Air,1,3,2,0,6,0.367,135000,271700,406700,279900,06/23/2006,Mountain View,Walton,Monticello,113.03,26,0,1
1997,NA,Average,1786,Central Air,1,3,2,1,6,0.34,135000,265500,400500,0,10/25/2017,Mountain View,Walton,Monticello,113.03,25,0,1
1996,NA,Good,2192,Central Air,1,3,3,1,8,0.419,135000,387300,522300,365000,09/30/2009,Mountain View,Walton,Monticello,113.03,26,0,1
1996,NA,Average,2736,Central Air,2,4,3,1,9,0.563,135000,422200,557200,312000,01/27/2011,Mountain View,Walton,Monticello,113.03,26,0,1
1997,NA,Good,1512,Central Air,1,3,3,0,6,0.411,135000,383300,518300,420500,03/31/2020,Mountain View,Walton,Monticello,113.03,25,0,1
1996,NA,Good,1852,Central Air,1,3,3,1,8,0.406,135000,325400,460400,423000,06/06/2019,Mountain View,Walton,Monticello,113.03,26,0,1
1997,NA,Average,1264,Central Air,1,3,2,0,5,0.454,135000,259300,394300,325000,03/13/2020,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Average,1997,Central Air,1,3,2,1,6,0.547,135000,287800,422800,0,07/15/2008,Mountain View,Walton,Monticello,113.03,25,0,1
1996,NA,Average,2884,Central Air,1,4,3,1,9,0.424,135000,393100,528100,405000,01/12/2017,Mountain View,Walton,Monticello,113.03,26,0,1
1996,NA,Average,2512,Central Air,1,3,2,1,8,0.413,135000,356900,491900,357000,08/06/2008,Mountain View,Walton,Monticello,113.03,26,0,1
1996,NA,Average,2884,Central Air,1,5,3,1,11,0.46,135000,358900,493900,0,04/07/2016,Mountain View,Walton,Monticello,113.03,26,0,1
1996,NA,Average,1236,Central Air,1,3,2,0,6,0.533,135000,234300,369300,293250,04/05/2017,Mountain View,Walton,Monticello,113.03,26,0,1
1997,NA,Average,1784,Central Air,1,3,2,1,6,0.523,135000,266800,401800,252000,07/23/2013,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Average,1968,Central Air,2,3,2,0,7,0.44,135000,323500,458500,0,09/03/2021,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Good,2296,Central Air,1,4,2,1,7,0.545,135000,354300,489300,423500,04/30/2019,Mountain View,Walton,Monticello,113.03,25,0,1
1996,NA,Average,1488,Central Air,1,3,2,0,6,0.483,135000,261600,396600,0,09/22/2009,Mountain View,Walton,Monticello,113.03,26,0,1
1997,NA,Average,2617,Central Air,1,4,4,1,7,0.497,135000,393300,528300,196000,12/04/1996,Mountain View,Walton,Monticello,113.03,25,0,1
1996,NA,Average,2832,Central Air,1,3,2,1,9,0.515,135000,395200,530200,168875,08/05/1996,Mountain View,Walton,Monticello,113.03,26,0,1
1996,NA,Average,2148,Central Air,0,4,3,0,8,0.435,135000,359500,494500,0,01/19/2022,Mountain View,Walton,Monticello,113.03,26,0,0
1995,NA,Good,1605,Central Air,1,3,2,1,6,0.623,135000,294400,429400,339900,07/29/2016,Mountain View,Walton,Monticello,113.03,27,0,1
1995,NA,Average,1613,Central Air,0,3,2,0,6,0.445,135000,269700,404700,147000,01/31/2000,Mountain View,Walton,Monticello,113.03,27,0,0
1996,NA,Average,2184,Central Air,1,3,3,1,8,0.344,135000,354200,489200,285000,12/27/2016,Mountain View,Walton,Monticello,113.03,26,0,1
1997,NA,Good,3372,Central Air,1,5,3,1,12,0.305,135000,503600,638600,214500,03/02/1998,Mountain View,Walton,Monticello,113.03,25,0,1
1995,NA,Average,1775,Central Air,1,3,2,0,7,0.296,135000,294100,429100,45000,05/01/1995,Mountain View,Walton,Monticello,113.03,27,0,1
1997,2020,Good,1580,Central Air,1,3,2,1,7,0.287,135000,256800,391800,399999,07/08/2021,Mountain View,Walton,Monticello,113.03,25,1,1
1996,NA,Average,2416,Central Air,1,4,2,1,8,0.281,135000,342800,477800,257900,09/26/2003,Mountain View,Walton,Monticello,113.03,26,0,1
1995,NA,Average,1674,Central Air,1,4,2,0,7,0.394,135000,254500,389500,160195,03/31/1995,Mountain View,Walton,Monticello,113.03,27,0,1
1995,NA,Average,1760,Central Air,1,3,2,0,8,0.505,135000,317200,452200,335000,11/30/2016,Mountain View,Walton,Monticello,113.03,27,0,1
1996,NA,Average,2128,Central Air,1,4,2,1,9,0.367,135000,310100,445100,0,10/05/2018,Mountain View,Walton,Monticello,113.03,26,0,1
1995,NA,Average,1982,Central Air,1,3,2,1,10,0.433,135000,337300,472300,384000,08/02/2018,Mountain View,Walton,Monticello,113.03,27,0,1
1996,NA,Average,1968,Central Air,1,3,2,1,7,0.409,135000,293300,428300,370000,08/17/2018,Mountain View,Walton,Monticello,113.03,26,0,1
1995,NA,Average,1598,Central Air,1,3,3,1,7,0.432,135000,279200,414200,0,05/09/2002,Mountain View,Walton,Monticello,113.03,27,0,1
1996,NA,Average,1456,Central Air,0,3,2,0,6,0.392,135000,285200,420200,420000,04/15/2021,Mountain View,Walton,Monticello,113.03,26,0,0
1995,NA,Good,1502,Central Air,0,3,2,0,6,0.515,135000,300500,435500,268000,07/24/2014,Mountain View,Walton,Monticello,113.03,27,0,0
1997,NA,Average,3016,Central Air,1,4,3,1,10,0.407,135000,412000,547000,169500,08/05/1998,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Average,2296,Central Air,1,4,2,1,9,0.374,135000,303700,438700,174500,09/18/1998,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Average,1968,Central Air,1,3,2,1,7,0.32,135000,285800,420800,0,01/30/2020,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Average,2596,Central Air,1,4,2,1,9,0.344,135000,389600,524600,244900,11/20/2002,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Good,2128,Central Air,1,4,2,1,8,0.391,135000,310900,445900,324000,05/28/2015,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Good,2427,Central Air,1,4,2,1,8,0.392,135000,376600,511600,440000,08/02/2019,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Average,1500,Central Air,1,3,2,0,5,0.32,135000,287700,422700,325750,04/27/2020,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Average,2784,Central Air,0,4,3,1,9,0.436,135000,436900,571900,198750,03/06/1997,Mountain View,Walton,Monticello,113.03,25,0,0
1997,NA,Average,2829,Central Air,1,3,3,1,7,0.776,135000,421200,556200,357000,04/19/2016,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Average,2384,Central Air,1,4,2,1,9,0.463,135000,337500,472500,190780,06/17/1997,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Average,2430,Central Air,1,3,2,1,8,0.544,135000,398300,533300,204350,05/09/1997,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Average,1672,Central Air,1,3,2,0,6,0.443,128300,313400,441700,305000,02/22/2006,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Average,1320,Central Air,1,3,2,0,6,0.35,128300,245000,373300,162500,06/05/2002,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Good,1352,Central Air,1,3,2,0,6,0.324,128300,315900,444200,331500,06/15/2017,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Average,1792,Central Air,1,3,2,1,7,0.305,128300,257600,385900,141000,06/16/1999,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Good,1236,Central Air,1,3,2,0,4,0.285,128300,260700,389000,329000,06/29/2020,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Average,1456,Central Air,1,3,2,0,6,0.306,128300,259100,387400,335900,05/01/2020,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Average,1788,Central Air,0,3,2,1,6,0.347,128300,259300,387600,300000,04/17/2006,Mountain View,Walton,Monticello,113.03,25,0,0
1996,NA,Average,1208,Central Air,1,3,2,0,6,0.346,128300,229700,358000,255000,06/29/2018,Mountain View,Walton,Monticello,113.03,26,0,1
1994,NA,Average,1234,Central Air,1,3,3,0,7,0.407,128300,280100,408400,35900,03/09/1994,Mountain View,Walton,Monticello,113.03,28,0,1
2000,NA,Average,1556,Central Air,1,3,2,1,6,0.169,110000,243800,353800,265000,12/18/2018,Mountain View,Walton,Monticello,113.03,22,0,1
2000,NA,Average,1450,Central Air,1,3,2,1,6,0.126,110000,237500,347500,165000,10/13/2017,Mountain View,Walton,Monticello,113.03,22,0,1
2000,NA,Average,1568,Central Air,1,3,2,1,6,0.111,110000,242100,352100,257500,06/21/2016,Mountain View,Walton,Monticello,113.03,22,0,1
2000,NA,Average,1480,Central Air,1,3,3,1,6,0.132,110000,246300,356300,232274,06/01/2004,Mountain View,Walton,Monticello,113.03,22,0,1
2000,NA,Good,1480,Central Air,1,3,2,1,6,0.147,110000,259300,369300,299900,06/10/2019,Mountain View,Walton,Monticello,113.03,22,0,1
2000,NA,Average,1556,Central Air,1,3,3,1,6,0.141,110000,265200,375200,150900,11/03/2000,Mountain View,Walton,Monticello,113.03,22,0,1
2000,NA,Average,1450,Central Air,1,3,2,1,6,0.117,110000,227700,337700,0,08/09/2018,Mountain View,Walton,Monticello,113.03,22,0,1
2000,NA,Average,1568,Central Air,1,3,2,1,6,0.143,110000,233200,343200,139550,02/09/2000,Mountain View,Walton,Monticello,113.03,22,0,1
2001,NA,Average,1480,Central Air,1,3,3,1,6,0.153,110000,244600,354600,350000,01/11/2022,Mountain View,Walton,Monticello,113.03,21,0,1
2000,NA,Average,1556,Central Air,1,3,2,1,6,0.156,110000,244600,354600,249900,05/21/2014,Mountain View,Walton,Monticello,113.03,22,0,1
1998,NA,Average,1872,Central Air,1,3,2,1,6,0.153,110000,261100,371100,205000,07/14/2004,Mountain View,Walton,Monticello,113.03,24,0,1
1998,NA,Average,1605,Central Air,1,3,2,1,6,0.154,110000,226500,336500,0,10/12/2018,Mountain View,Walton,Monticello,113.03,24,0,1
1999,NA,Average,1544,Central Air,1,3,3,1,6,0.219,110000,261900,371900,0,10/16/2006,Mountain View,Walton,Monticello,113.03,23,0,1
1999,NA,Fair,1450,Central Air,1,3,3,1,6,0.149,110000,194400,304400,215500,04/25/2019,Mountain View,Walton,Monticello,113.03,23,0,1
2000,NA,Average,1450,Central Air,1,3,2,2,6,0.122,110000,235300,345300,230000,10/11/2007,Mountain View,Walton,Monticello,113.03,22,0,1
2000,NA,Average,1556,Central Air,1,3,2,1,6,0.145,110000,244800,354800,242300,06/21/2016,Mountain View,Walton,Monticello,113.03,22,0,1
1998,NA,Average,1872,Central Air,1,3,2,1,6,0.167,181500,273700,455200,345000,10/03/2019,Mountain View,Walton,Monticello,113.03,24,0,1
1998,NA,Average,2200,Central Air,1,4,3,1,8,0.149,181500,317500,499000,499000,01/21/2022,Mountain View,Walton,Monticello,113.03,24,0,1
1997,NA,Average,2393,Central Air,1,4,2,1,7,0.141,181500,338500,520000,328500,09/30/2004,Mountain View,Walton,Monticello,113.03,25,0,1
1997,NA,Average,1641,Central Air,1,3,3,0,6,0.158,181500,272800,454300,387000,12/03/2018,Mountain View,Walton,Monticello,113.03,25,0,1
2003,NA,Average,1824,Central Air,1,3,2,1,6,0.169,110000,264400,374400,400000,12/27/2021,Mountain View,Walton,Monticello,113.03,19,0,1
2003,NA,Average,1570,Central Air,1,3,2,1,6,0.181,110000,233100,343100,0,09/03/2021,Mountain View,Walton,Monticello,113.03,19,0,1
1999,NA,Average,1490,Central Air,1,3,2,1,6,0.171,110000,211700,321700,183000,07/31/2003,Mountain View,Walton,Monticello,113.03,23,0,1
